;hirkod;catalog_url
29;8740746;http://katalogus.hasznaltauto.hu/mercedes-benz/e_220_cdi_avantgarde-18730
30;8776467;http://katalogus.hasznaltauto.hu/alfa_romeo/giulietta_1.6_jtdm-2_progression-268
31;8809974;http://katalogus.hasznaltauto.hu/ford/s-max_2.0_tdci_titanium-12225
32;8842115;http://katalogus.hasznaltauto.hu/opel/insignia_2.0_cdti_cosmo-26523
33;8880833;http://katalogus.hasznaltauto.hu/mercedes-benz/e_320_cdi_4matic_avantgarde_automata-18894
34;8920351;http://katalogus.hasznaltauto.hu/volkswagen/touareg_3.0_v6_tdi_bmt_scr_tiptronic-94796
35;9000108;http://katalogus.hasznaltauto.hu/volvo/xc70_2.4_d_d4_awd_summum_geartronic-42812
36;9021413;http://katalogus.hasznaltauto.hu/ford/mondeo_2.0_tdci_ambiente-11334
37;9051646;no catalog
38;9069869;http://katalogus.hasznaltauto.hu/suzuki/swift_1.0_glx-38347
39;9171270;http://katalogus.hasznaltauto.hu/bmw/520d_automata-91057
40;9186517;http://katalogus.hasznaltauto.hu/renault/clio_1.5_dci_trendstyle-30269
41;9191763;no catalog
42;9206708;http://katalogus.hasznaltauto.hu/chevrolet/epica_2.0_d_lt_leather-5589
43;9251802;no catalog
44;9256060;no catalog
45;9285799;no catalog
46;9294312;http://katalogus.hasznaltauto.hu/citroen/ds3_1.6_vti_dstyle-6192
47;9416806;http://katalogus.hasznaltauto.hu/seat/cordoba_1.4_gold-34954
48;9438124;http://katalogus.hasznaltauto.hu/ford/escort_1.3_flair-9946
49;9460629;http://katalogus.hasznaltauto.hu/opel/insignia_sports_tourer_2.0_cdti_active-26916
50;9473417;no catalog
51;9496390;http://katalogus.hasznaltauto.hu/ford/transit_2.2_tdci_300_l_trend-49671
52;9496754;http://katalogus.hasznaltauto.hu/skoda/octavia_combi_1.6_lx-36538
53;9496928;http://katalogus.hasznaltauto.hu/mercedes-benz/e_220_d_classic-18474
54;9573010;http://katalogus.hasznaltauto.hu/skoda/fabia_1.9_pd_tdi_elegance-35873
55;9575734;http://katalogus.hasznaltauto.hu/volkswagen/sharan_2.8_vr6_gl-47198
56;9588529;http://katalogus.hasznaltauto.hu/hyundai/sonata_2.0_crdi_premium-13677
57;9655009;http://katalogus.hasznaltauto.hu/chrysler/300_c_3.5_automata-5652
58;9656624;http://katalogus.hasznaltauto.hu/alfa_romeo/alfa_155_1.8_ts_16v_l-246
59;9679360;http://katalogus.hasznaltauto.hu/mercedes-benz/e_350_cdi_blueefficiency_avantgarde_automata-19043
60;9707172;http://katalogus.hasznaltauto.hu/bmw/z1_2.5-5000
61;9720579;no catalog
62;9732372;http://katalogus.hasznaltauto.hu/seat/cordoba_1.4i_clx-34820
63;9923559;http://katalogus.hasznaltauto.hu/bmw/z1_2.5-5000
64;9924021;http://katalogus.hasznaltauto.hu/bmw/530d_touring_automata-4724
65;9934496;http://katalogus.hasznaltauto.hu/mercedes-benz/e_280_avantgarde_automata-18697
66;9979025;http://katalogus.hasznaltauto.hu/volvo/s80_2.4_automata-42962
67;9979782;http://katalogus.hasznaltauto.hu/opel/zafira_2.0_dti_elegance-25261
68;10000597;http://katalogus.hasznaltauto.hu/volkswagen/passat_2.0_cr_tdi_highline-46784
69;10016551;http://katalogus.hasznaltauto.hu/honda/legend_3.5_v6_automata-13055
70;10020826;http://katalogus.hasznaltauto.hu/bmw/x5_xdrive30d_aut.-59139
71;10030470;http://katalogus.hasznaltauto.hu/renault/scenic_1.5_dci_dynamique-31968
72;10071335;http://katalogus.hasznaltauto.hu/ford/mondeo_2.0_tdci_titanium-x-11707
73;10129058;http://katalogus.hasznaltauto.hu/mercedes-benz/ml_350_blueefficiency_automata-61018
74;10155203;http://katalogus.hasznaltauto.hu/ford/focus_1.8_tdci_trend-10070
75;10176011;http://katalogus.hasznaltauto.hu/kia/magentis_2.0_crdi_ex_premium-14660
76;10183620;http://katalogus.hasznaltauto.hu/peugeot/307_break_1.6_hdi_d-sign-28253
77;10188643;http://katalogus.hasznaltauto.hu/bmw/525d_touring_automata-4598
78;10209528;no catalog
79;10223144;http://katalogus.hasznaltauto.hu/peugeot/206_1.9_d_xt-27551
80;10235444;http://katalogus.hasznaltauto.hu/renault/megane_classic_1.9_td_rt-30802
81;10237595;no catalog
82;10247814;http://katalogus.hasznaltauto.hu/saab/900_2.0i-33255
83;10250726;http://katalogus.hasznaltauto.hu/saab/9-3_combi_1.9_tidspf_linear-33487
84;10251135;http://katalogus.hasznaltauto.hu/volkswagen/passat_1.4_tsi_comfortline_dsg-46649
85;10254961;http://katalogus.hasznaltauto.hu/skoda/yeti_2.0_cr_tdi_ambition-36220
86;10264599;http://katalogus.hasznaltauto.hu/ford/mondeo_turnier_2.0_tdci_ambiente-11363
87;10268070;http://katalogus.hasznaltauto.hu/volkswagen/golf_1.9_pd_tdi_trendline-44570
88;10303465;no catalog
89;10308831;http://katalogus.hasznaltauto.hu/mazda/rx-8_1.3_challenge-16666
90;10320820;http://katalogus.hasznaltauto.hu/bmw/730ld_automata-4988
91;10342339;http://katalogus.hasznaltauto.hu/skoda/fabia_sedan_1.2_12v_neo-35584
92;10355781;no catalog
93;10384799;http://katalogus.hasznaltauto.hu/mercedes-benz/e_300_blueefficiency_avantgarde_automata-19136
94;10413412;http://katalogus.hasznaltauto.hu/toyota/prius_1.8_hsd_sol_navi_automata-39802
95;10466193;http://katalogus.hasznaltauto.hu/audi/a6_3.0_v6_tdi_dpf_quattro_s-tronic-3180
96;10467049;http://katalogus.hasznaltauto.hu/volvo/s80_2.4_t_automata-42966
97;10476199;no catalog
98;10501391;http://katalogus.hasznaltauto.hu/land_rover/range_rover_sport_2.7_tdv6_hse_automata-60314
99;10506621;http://katalogus.hasznaltauto.hu/nissan/qashqai_plusz_2_2.0_dci_tekna_4wd_automata-21701
100;10522730;http://katalogus.hasznaltauto.hu/mercedes-benz/gl_420_cdi_4matic_aut._7_sz.-61026
101;10536000;http://katalogus.hasznaltauto.hu/volvo/s40_1.9_klassik_td-40725
102;10567320;http://katalogus.hasznaltauto.hu/peugeot/206_2.0_gti-27626
103;10587528;http://katalogus.hasznaltauto.hu/toyota/avensis_2.2_dcat_sol_plus-40059
104;10649516;http://katalogus.hasznaltauto.hu/mazda/mazda_3_sport_1.6_d_te-15975
105;10649540;http://katalogus.hasznaltauto.hu/dacia/logan_1.5_dci_arctic-7521
106;10664151;http://katalogus.hasznaltauto.hu/hyundai/accent_1.5_gls-13318
107;10665932;no catalog
108;10685270;http://katalogus.hasznaltauto.hu/bmw/335i_automata-4093
109;10685285;http://katalogus.hasznaltauto.hu/hyundai/accent_1.5_crdi_ls-13358
110;10706977;http://katalogus.hasznaltauto.hu/bmw/318d_sport_automata-90861
111;10715149;http://katalogus.hasznaltauto.hu/kia/sorento_2.2_crdi_ex_premium_4wd_aut.-60151
112;10730492;http://katalogus.hasznaltauto.hu/audi/q7_3.0_tdi_quattro_dpf_tiptronic_euro6-3291
113;10770102;http://katalogus.hasznaltauto.hu/citroen/c4_grand_picasso_2.0_hdi_exclusive_fap_mcp6_7_sz.-6495
114;10779303;no catalog
115;10779873;http://katalogus.hasznaltauto.hu/renault/thalia_1.4_16v_expression-30410
116;10794965;http://katalogus.hasznaltauto.hu/ford/mondeo_turnier_2.0_tdci_ambiente-11452
117;10830425;http://katalogus.hasznaltauto.hu/audi/a6_allroad_3.0_v6_tdi_quattro_tiptronic_ic-97453
118;10838510;http://katalogus.hasznaltauto.hu/bmw/520d_touring-4653
119;10857293;no catalog
120;10872627;http://katalogus.hasznaltauto.hu/mercedes-benz/cla_180-17128
121;10891176;http://katalogus.hasznaltauto.hu/audi/a7_sportback_3.0_v6_tdi_dpf_quattro_s-tronic_5_szemely-3245
122;10910650;http://katalogus.hasznaltauto.hu/daewoo/lanos_1.3_s-7653
123;10916872;no catalog
124;10917962;http://katalogus.hasznaltauto.hu/opel/astra_caravan_2.0_di_cdx-24109
125;10924996;no catalog
126;10954587;http://katalogus.hasznaltauto.hu/fiat/linea_1.4_8v_dynamic-8885
127;10971578;http://katalogus.hasznaltauto.hu/bmw/320xd-4272
128;10972962;http://katalogus.hasznaltauto.hu/citroen/saxo_1.4_sx-6017
129;10974124;http://katalogus.hasznaltauto.hu/opel/vectra_2.0_dti_comfort-26069
130;10978685;http://katalogus.hasznaltauto.hu/opel/corsa_1.2i_city-22375
131;11021630;no catalog
132;11040610;http://katalogus.hasznaltauto.hu/toyota/land_cruiser_3.0_d-4d_special_kj_95_automata-62073
133;11049527;http://katalogus.hasznaltauto.hu/chevrolet/cruze_1.6_ls_plus-5435
134;11056800;http://katalogus.hasznaltauto.hu/opel/vectra_1.6_16v_comfort-25792
135;11063098;http://katalogus.hasznaltauto.hu/citroen/saxo_1.4_sx-6017
136;11073828;http://katalogus.hasznaltauto.hu/volkswagen/lupo_1.4-43403
137;11078852;http://katalogus.hasznaltauto.hu/opel/astra_sedan_1.6_cdti_start-stop_cosmo-97164
138;11116387;http://katalogus.hasznaltauto.hu/bmw/750i_automata-4956
139;11139973;http://katalogus.hasznaltauto.hu/citroen/berlingo_1.6_hdi_multispace_plus_abs-7326
140;11142884;no catalog
141;11147113;http://katalogus.hasznaltauto.hu/mercedes-benz/cls_320_cdi_automata-19366
142;11155668;no catalog
143;11158965;http://katalogus.hasznaltauto.hu/mazda/mazda_3_1.6_d_te-16009
144;11174140;http://katalogus.hasznaltauto.hu/volvo/s40_2.0-40751
145;11187081;http://katalogus.hasznaltauto.hu/renault/megane_1.4_monaco-30973
146;11198144;http://katalogus.hasznaltauto.hu/renault/grand_scenic_2.0_dci_privilege-31871
147;11211884;http://katalogus.hasznaltauto.hu/audi/a4_1.8_t_fsi-2188
148;11214608;http://katalogus.hasznaltauto.hu/peugeot/206_sw_1.4_riviera-27665
149;11231838;no catalog
150;11242031;http://katalogus.hasznaltauto.hu/chrysler/voyager_2.5_crd_lx_7_sz.-5832
151;11254694;no catalog
152;11264266;http://katalogus.hasznaltauto.hu/skoda/roomster_1.4_16v_family-36085
153;11284942;http://katalogus.hasznaltauto.hu/bmw/318d_touring_automata-4166
154;11321847;http://katalogus.hasznaltauto.hu/renault/megane_1.9_dci_monaco-31079
155;11322961;http://katalogus.hasznaltauto.hu/audi/80_1.8_s-1774
156;11324737;http://katalogus.hasznaltauto.hu/opel/astra_1.6_16v_gl-23541
157;11345632;no catalog
158;11367344;no catalog
159;11382492;http://katalogus.hasznaltauto.hu/audi/a4_avant_2.0_pd_tdi_dpf_quattro-2162
160;11399083;http://katalogus.hasznaltauto.hu/bmw/535xd_gran_turismo_automata-4799
161;11411787;http://katalogus.hasznaltauto.hu/suzuki/swift_sedan_1.3_gl-38333
162;11412090;http://katalogus.hasznaltauto.hu/lexus/gs_300_automata-15363
163;11413238;http://katalogus.hasznaltauto.hu/bmw/320_cd-3928
164;11414594;no catalog
165;11424292;http://katalogus.hasznaltauto.hu/nissan/primera_wagon_2.0_td_comfort_plus-21932
166;11427615;http://katalogus.hasznaltauto.hu/bmw/216d_advantage-96435
167;11433342;no catalog
168;11438009;http://katalogus.hasznaltauto.hu/peugeot/508_sw_2.2_hdi_gt_automata-29008
169;11476226;http://katalogus.hasznaltauto.hu/toyota/avensis_2.0_d-4d_executive_sun-40050
170;11478381;no catalog
171;11492067;http://katalogus.hasznaltauto.hu/peugeot/207_sw_1.6_hdi_trendy-27847
172;11502407;http://katalogus.hasznaltauto.hu/ford/escort_1.8d_cl-9907
173;11519029;http://katalogus.hasznaltauto.hu/audi/a6_2.0_tdi_quattro_s-tronic-99170
174;11529672;http://katalogus.hasznaltauto.hu/opel/astra_caravan_1.4_16v_comfort-24035
175;11531312;no catalog
176;11532040;http://katalogus.hasznaltauto.hu/opel/zafira_1.7_cdti_cosmo-25377
177;11532645;http://katalogus.hasznaltauto.hu/citroen/ax_1.1_first-5963
178;11542436;http://katalogus.hasznaltauto.hu/audi/a4_cabrio_2.5_v6_tdi-2104
179;11543330;http://katalogus.hasznaltauto.hu/chevrolet/lacetti_sedan_1.6_16v_elite_ac-5401
180;11543333;http://katalogus.hasznaltauto.hu/citroen/xsara_picasso_1.6_elit-6799
181;11574526;http://katalogus.hasznaltauto.hu/mazda/mazda_6_sport_2.0_cd_te-16465
182;11579685;http://katalogus.hasznaltauto.hu/kia/sorento_2.5_crdi_ex-60089
183;11581841;http://katalogus.hasznaltauto.hu/peugeot/308_sw_1.6_e-hdi_active_plusz-28414
184;11588667;http://katalogus.hasznaltauto.hu/chrysler/pt_cruiser_2.0_touring_automata-5713
185;11595662;http://katalogus.hasznaltauto.hu/volkswagen/golf_plus_1.9_pd_tdi_comfortline-45160
186;11595804;no catalog
187;11615834;http://katalogus.hasznaltauto.hu/mercedes-benz/e_220_cdi_blueefficiency_elegance_7g-tronic-100893
188;11620961;no catalog
189;11631088;http://katalogus.hasznaltauto.hu/peugeot/307_cc_2.0_hdi_standard-28270
190;11653445;http://katalogus.hasznaltauto.hu/opel/astra_sports_tourer_1.3_cdti_start-stop_active-25151
191;11655223;http://katalogus.hasznaltauto.hu/bmw/530d_gran_turismo_automata-4796
192;11671628;http://katalogus.hasznaltauto.hu/hyundai/accent_1.3_ls_cool-13339
193;11678524;http://katalogus.hasznaltauto.hu/volkswagen/golf_variant_1.4_cl_trend-44298
194;11685093;http://katalogus.hasznaltauto.hu/citroen/xsara_picasso_1.6_exclusive-6805
195;11689558;no catalog
196;11697686;no catalog
197;11700719;no catalog
198;11705982;http://katalogus.hasznaltauto.hu/volkswagen/passat_2.0_tdi_comfortline_bmt_dsg-97947
199;11711933;no catalog
200;11727867;no catalog
201;11727918;http://katalogus.hasznaltauto.hu/fiat/punto_1.2_16v_dynamic-8235
202;11736641;no catalog
203;11742020;http://katalogus.hasznaltauto.hu/ford/mondeo_turnier_2.0_16v_ghia-11244
204;11749648;no catalog
205;11749985;no catalog
206;11750246;no catalog
207;11750277;no catalog
208;11751090;no catalog
209;11751127;no catalog
210;11753478;http://katalogus.hasznaltauto.hu/suzuki/wagon_r_plusz_1.3_glx_4wd_ac-38588
211;11780333;http://katalogus.hasznaltauto.hu/seat/leon_1.9_pd_tdi_reference-35077
212;11780461;no catalog
213;11792217;http://katalogus.hasznaltauto.hu/mercedes-benz/a_45_amg_4matic_7g-dct-17079
214;11793136;http://katalogus.hasznaltauto.hu/audi/a5_cabrio_3.0_v6_tdi_quattro_s-tronic-2489
215;11798683;http://katalogus.hasznaltauto.hu/volkswagen/multivan_2.0_cr_tdi_highline_dsg_4motion-58986
216;11800314;http://katalogus.hasznaltauto.hu/mercedes-benz/b_180_cdi-17170
217;11808287;http://katalogus.hasznaltauto.hu/hyundai/i40_1.7_crdi_hp_executive-91869
218;11809083;http://katalogus.hasznaltauto.hu/volkswagen/caddy_1.4_life-57164
219;11809663;no catalog
220;11810159;http://katalogus.hasznaltauto.hu/bmw/x3_xdrive18d-59079
221;11813745;no catalog
222;11821193;http://katalogus.hasznaltauto.hu/volkswagen/multivan_2.0_cr_tdi_startline_bluemotion-58957
223;11825044;http://katalogus.hasznaltauto.hu/opel/astra_1.4_essentia-24137
224;11830445;http://katalogus.hasznaltauto.hu/audi/a7_sportback_3.0_v6_tdi_dpf_quattro_s-tronic_5_szemely-3247
225;11831820;http://katalogus.hasznaltauto.hu/volkswagen/transporter_1.9_tdi_mikrobusz_ice_plus-58451
226;11838669;http://katalogus.hasznaltauto.hu/seat/arosa_1.4_comfort-34345
227;11840757;http://katalogus.hasznaltauto.hu/hyundai/tucson_2.0_crdi_style_vgt-59528
228;11842504;http://katalogus.hasznaltauto.hu/citroen/c6_2.7_hdi_v6_exclusive_automata-7257
229;11851116;no catalog
230;11872913;http://katalogus.hasznaltauto.hu/volkswagen/passat_2.0_fsi_comfortline-46700
231;11874503;http://katalogus.hasznaltauto.hu/chevrolet/lacetti_sedan_1.4_16v_plus-5396
232;11876657;http://katalogus.hasznaltauto.hu/bmw/530d_automata-4573
233;11876915;http://katalogus.hasznaltauto.hu/mercedes-benz/a_190_elegance_automata-16779
234;11877587;http://katalogus.hasznaltauto.hu/lexus/rx_450h_f_sport_plus_panoramic_e-cvt-107611
235;11880642;no catalog
236;11897943;http://katalogus.hasznaltauto.hu/audi/a4_2.0_tdi_design_s-tronic-99095
237;11899015;http://katalogus.hasznaltauto.hu/hyundai/i30u_1.6_crdi_lp_comfort-13437
238;11900744;no catalog
239;11912907;no catalog
240;11918281;http://katalogus.hasznaltauto.hu/mazda/121_1.3_lx-15565
241;11922539;http://katalogus.hasznaltauto.hu/lancia/delta_1.6_i.e._le-14994
242;11923152;http://katalogus.hasznaltauto.hu/audi/a6_3.0_v6_tdi_dpf_quattro_s-tronic-3180
243;11924771;http://katalogus.hasznaltauto.hu/kia/ceed_1.6_crdi_lx-14398
244;11929680;no catalog
245;11953054;http://katalogus.hasznaltauto.hu/chrysler/voyager_2.5_crd_lx_7_sz.-5832
246;11986131;http://katalogus.hasznaltauto.hu/bmw/325ci_automata-3914
247;12000825;http://katalogus.hasznaltauto.hu/ford/fiesta_1.3_flair-9258
248;12007169;http://katalogus.hasznaltauto.hu/bmw/218d_sport-96459
249;12013641;http://katalogus.hasznaltauto.hu/bmw/220i_advantage_automata-96258
250;12047759;http://katalogus.hasznaltauto.hu/ford/mondeo_2.0_tdci_trend-11879
251;12050211;http://katalogus.hasznaltauto.hu/seat/leon_st_2.0_tdi_xcellence_dsg_startstop-108601
252;12053658;http://katalogus.hasznaltauto.hu/renault/grand_espace_2.0_dci_celsium_7_szemelyes-32852
253;12062945;http://katalogus.hasznaltauto.hu/audi/a6_3.0_v6_tfsi_quattro_s-tronic-3173
254;12074229;http://katalogus.hasznaltauto.hu/suzuki/ignis_1.2_glx_aeb_4wd-108705
255;12076389;http://katalogus.hasznaltauto.hu/ford/focus_1.4_ambiente-9981
256;12086842;http://katalogus.hasznaltauto.hu/mercedes-benz/slk_200-19641
257;12092102;http://katalogus.hasznaltauto.hu/volkswagen/passat_1.9_tdi_comfortline_automata-46304
258;12092142;http://katalogus.hasznaltauto.hu/toyota/avensis_1.6_d-4d_active_trend_plusz-94596
259;12096826;no catalog
260;12100731;http://katalogus.hasznaltauto.hu/opel/insignia_spotrs_tourer_2.0_cdti_innovation_start_stop-108496
261;12102204;no catalog
262;12102613;no catalog
263;12108578;http://katalogus.hasznaltauto.hu/toyota/corolla_verso_2.2_d-4d_linea_sol-39557
264;12109916;http://katalogus.hasznaltauto.hu/mini/mini_cooper_1.6_s-19816
265;12127372;no catalog
266;12128084;http://katalogus.hasznaltauto.hu/volkswagen/passat_2.0_tdi_highline_scr_bmt_dsg_4motion-97957
267;12130980;http://katalogus.hasznaltauto.hu/volkswagen/new_beetle_cabrio_1.4-45557
268;12131015;http://katalogus.hasznaltauto.hu/fiat/500_1.2_8v_lounge-7913
269;12131210;http://katalogus.hasznaltauto.hu/bmw/320ci-3934
270;12155482;http://katalogus.hasznaltauto.hu/ford/mondeo_turnier_2.5_v6_ghia_automata-11246
271;12161672;no catalog
272;12162851;http://katalogus.hasznaltauto.hu/opel/ampera_e-pioneer_automata-25219
273;12167431;http://katalogus.hasznaltauto.hu/bmw/218d_advantage-96455
274;12172273;http://katalogus.hasznaltauto.hu/mercedes-benz/e_200_t_cdi_classic_automata-18932
275;12172301;http://katalogus.hasznaltauto.hu/saab/9-5_2.0_se_eco_automata-34040
276;12175661;http://katalogus.hasznaltauto.hu/seat/mii_1.0_ecomotive_start__stop_reference-101729
277;12180362;http://katalogus.hasznaltauto.hu/renault/clio_1.5_dci_expression-29933
278;12181252;http://katalogus.hasznaltauto.hu/renault/clio_1.2_rn-29761
279;12186554;http://katalogus.hasznaltauto.hu/hyundai/i30_cw_1.6_crdi_lp_comfort-13528
280;12196749;http://katalogus.hasznaltauto.hu/bmw/750il_automata-4957
281;12200036;http://katalogus.hasznaltauto.hu/mazda/demio_1.3i_glx_te-15525
282;12200158;http://katalogus.hasznaltauto.hu/peugeot/306_1.9_d_xrdt-27985
283;12202438;http://katalogus.hasznaltauto.hu/bmw/x3_3.0d-59070
284;12202742;http://katalogus.hasznaltauto.hu/volkswagen/touran_1.9_pd_tdi_conceptline_dsg_dpf-45958
285;12203856;http://katalogus.hasznaltauto.hu/renault/trafic_2.5_dci_l1h1_passenger-56120
286;12206964;http://katalogus.hasznaltauto.hu/ford/mondeo_1.8_ambiente-11307
287;12224692;http://katalogus.hasznaltauto.hu/audi/a4_avant_2.0_pd_tdi-2158
288;12226415;http://katalogus.hasznaltauto.hu/volkswagen/transporter_2.5_tdi_caravelle_comfortline-58542
289;12230060;http://katalogus.hasznaltauto.hu/fiat/idea_1.4_8v_active_plus-8461
290;12240982;http://katalogus.hasznaltauto.hu/bmw/520xd_automata-91058
291;12245951;http://katalogus.hasznaltauto.hu/opel/astra_1.3_cdti_ecoflex_cosmo-24677
292;12261612;http://katalogus.hasznaltauto.hu/bmw/318d_sport-90860
293;12269926;http://katalogus.hasznaltauto.hu/maruti/800_dx-15463
294;12270579;http://katalogus.hasznaltauto.hu/ford/s-max_1.8_tdci_trend-12218
295;12273265;http://katalogus.hasznaltauto.hu/honda/accord_coupe_2.0i_es-12895
296;12280245;http://katalogus.hasznaltauto.hu/mercedes-benz/e_220_t_cdi_classic_automata-18663
297;12285443;http://katalogus.hasznaltauto.hu/mercedes-benz/cl_500_automata-19747
298;12286793;http://katalogus.hasznaltauto.hu/volkswagen/polo_variant_1.4_60-43710
299;12294919;http://katalogus.hasznaltauto.hu/audi/a8_3.3_tdi_quattro_tiptronic-3345
300;12296797;http://katalogus.hasznaltauto.hu/volkswagen/caddy_1.6_life-57170
301;12301420;http://katalogus.hasznaltauto.hu/mazda/mazda_3_sport_1.6_cd_te-15894
302;12313212;no catalog
303;12316404;http://katalogus.hasznaltauto.hu/skoda/superb_2.0_cr_tdi_style_4x4_dsg_scr-94267
304;12323817;http://katalogus.hasznaltauto.hu/seat/altea_xl_1.6_cr_tdi_style-35396
305;12337089;http://katalogus.hasznaltauto.hu/hyundai/accent_1.3_ls-13236
306;12343637;no catalog
307;12352414;no catalog
308;12353449;http://katalogus.hasznaltauto.hu/jeep/compass_2.0_crd_limited-59804
309;12355163;http://katalogus.hasznaltauto.hu/fiat/punto_1.7_td_sx-8184
310;12368870;http://katalogus.hasznaltauto.hu/peugeot/306_break_1.6_xn-28062
311;12369325;http://katalogus.hasznaltauto.hu/nissan/primera_1.8_comfort-21899
312;12369417;http://katalogus.hasznaltauto.hu/skoda/octavia_1.9_tdi_lk-36535
313;12380865;no catalog
314;12387023;http://katalogus.hasznaltauto.hu/bmw/320d_touring-4168
315;12393248;no catalog
316;12397213;http://katalogus.hasznaltauto.hu/skoda/felicia_1.3_lx-36046
317;12401704;http://katalogus.hasznaltauto.hu/peugeot/308_1.6_hdi_active-28435
318;12405029;http://katalogus.hasznaltauto.hu/citroen/c4_1.4_elite_pack-6326
319;12405090;http://katalogus.hasznaltauto.hu/volkswagen/polo_1.4_60_comfort_trend-43525
320;12405295;http://katalogus.hasznaltauto.hu/volkswagen/polo_1.4_60_comfort_servo-43523
321;12405312;http://katalogus.hasznaltauto.hu/renault/laguna_1.9_dti_rxt-32226
322;12405321;http://katalogus.hasznaltauto.hu/renault/laguna_3.0_v6_baccara-32167
323;12405336;http://katalogus.hasznaltauto.hu/ford/fiesta_1.25_fun-9265
324;12410702;http://katalogus.hasznaltauto.hu/rover/216_coupe-32926
325;12410722;http://katalogus.hasznaltauto.hu/ford/fiesta_1.25_ghia-9291
326;12412037;http://katalogus.hasznaltauto.hu/volkswagen/polo_variant_1.9_68_sdi_highline-43733
327;12413186;http://katalogus.hasznaltauto.hu/ford/focus_1.8di_ghia-10006
328;12415465;http://katalogus.hasznaltauto.hu/suzuki/swift_1.3_glx-38282
329;12416125;no catalog
330;12423727;http://katalogus.hasznaltauto.hu/volkswagen/transporter_2.5_tdi_multivan-58574
331;12429945;http://katalogus.hasznaltauto.hu/fiat/bravo_1.2_80_16v_sx-8630
332;12439602;http://katalogus.hasznaltauto.hu/audi/a7_sportback_3.0_v6_tdi_dpf_quattro_s-tronic-3246
333;12440272;http://katalogus.hasznaltauto.hu/peugeot/406_break_1.8_sphere-28734
334;12444607;http://katalogus.hasznaltauto.hu/volkswagen/golf_1.6_comfortline-44417
335;12448019;no catalog
336;12451395;http://katalogus.hasznaltauto.hu/honda/civic_1.8_type-s-12721
337;12451889;http://katalogus.hasznaltauto.hu/proton/413_glsi-29592
338;12456274;no catalog
339;12468411;no catalog
340;12477758;http://katalogus.hasznaltauto.hu/audi/a6_avant_2.0_tdi_ultra-90311
341;12484946;no catalog
342;12496721;http://katalogus.hasznaltauto.hu/mercedes-benz/a_170_classic-16826
343;12500110;http://katalogus.hasznaltauto.hu/jaguar/xf_2.0_i4d_r-sport_automata-100172
344;12504363;http://katalogus.hasznaltauto.hu/citroen/saxo_1.1_sx-6037
345;12505591;http://katalogus.hasznaltauto.hu/ford/ecosport_1.0_ecoboost_trend-103546
346;12506357;http://katalogus.hasznaltauto.hu/mercedes-benz/a_180_cdi_classic-17027
347;12513085;http://katalogus.hasznaltauto.hu/mercedes-benz/e_220_cdi_elegance_automata-18874
348;12513584;http://katalogus.hasznaltauto.hu/peugeot/406_2.0_hdi_st-28696
349;12513826;http://katalogus.hasznaltauto.hu/ford/mondeo_2.0_16v_ghia-11281
350;12529761;http://katalogus.hasznaltauto.hu/fiat/bravo_1.6_mjet_easy-8664
